品目コード,領域,種別,機種,名称,保管場所,備考
0107003013,PA,Mic/DI,SHURE SM57_No13,ダイナミックマイク,1st,2025年12月 田中から購入
0107003014,PA,Mic/DI,SHURE SM57_No14,ダイナミックマイク,1st,2025年12月 田中から購入
0107003015,PA,Mic/DI,SHURE SM57_No15,ダイナミックマイク,1st,2025年12月 田中から購入
0107003016,PA,Mic/DI,SHURE SM57_No16,ダイナミックマイク,1st,2025年12月 田中から購入
0107004001,PA,Mic/DI,SHURE KSM8/B,ダイナミックマイク,1st,
0107005001,PA,Mic/DI,SHURE 55SH Series II,ダイナミックマイク,1st,
0107006001,PA,Mic/DI,SHURE BETA58A_No1,ダイナミックマイク,1st,
0107006002,PA,Mic/DI,SHURE BETA58A_No2,ダイナミックマイク,1st,
0107006003,PA,Mic/DI,SHURE BETA58A_No3,ダイナミックマイク,1st,2025年12月 田中から購入
0107006004,PA,Mic/DI,SHURE BETA58A_No4,ダイナミックマイク,1st,2025年12月 田中から購入
0107007001,PA,Mic/DI,SHURE BETA57A_No1,ダイナミックマイク,1st,
0107007002,PA,Mic/DI,SHURE BETA57A_No2,ダイナミックマイク,1st,
0107007003,PA,Mic/DI,SHURE BETA57A_No3,ダイナミックマイク,1st,2025年12月 田中から購入
0107007004,PA,Mic/DI,SHURE BETA57A_No4,ダイナミックマイク,1st,2025年12月 田中から購入
0107007005,PA,Mic/DI,SHURE BETA57A_No5,ダイナミックマイク,1st,2025年12月 田中から購入
0107008001,PA,Mic/DI,SHURE BETA91A,バウンダリーマイク,1st,
0107009001,PA,Mic/DI,SHURE MX418D/C*4_No1,グースネックマイク,1st,
0107009002,PA,Mic/DI,SHURE MX418D/C*4_No2,グースネックマイク,1st,
0107010001,PA,Mic/DI,SHURE SM35XLR_No1,ヘッドセットマイク,1st,
0107010002,PA,Mic/DI,SHURE SM35XLR_No2,ヘッドセットマイク,1st,
0107010003,PA,Mic/DI,SHURE SM35XLR_No3,ヘッドセットマイク,1st,
0107010004,PA,Mic/DI,SHURE SM35XLR_No4,ヘッドセットマイク,1st,
0107011001,PA,Mic/DI,SENNHEISER e845S_No1,ダイナミックマイク,1st,
0107011002,PA,Mic/DI,SENNHEISER e845S_No2,ダイナミックマイク,1st,
0107011003,PA,Mic/DI,SENNHEISER e845S_No3,ダイナミックマイク,1st,2025年12月 田中から購入
0107011004,PA,Mic/DI,SENNHEISER e845S_No4,ダイナミックマイク,1st,2025年12月 田中から購入
0107012001,PA,Mic/DI,SENNHEISER e945_No1,ダイナミックマイク,1st,
0107012002,PA,Mic/DI,SENNHEISER e945_No2,ダイナミックマイク,1st,
0107013001,PA,Mic/DI,SENNHEISER e902_No1,ダイナミックマイク,1st,
0107013002,PA,Mic/DI,SENNHEISER e902_No2,ダイナミックマイク,1st,
0107013003,PA,Mic/DI,SENNHEISER e902_No3,ダイナミックマイク,1st,2025年12月 田中から購入
0107014001,PA,Mic/DI,SENNHEISER e904_No1,ダイナミックマイク,1st,
0107014002,PA,Mic/DI,SENNHEISER e904_No2,ダイナミックマイク,1st,
0107014003,PA,Mic/DI,SENNHEISER e904_No3,ダイナミックマイク,1st,
0107014004,PA,Mic/DI,SENNHEISER e904_No4,ダイナミックマイク,1st,
0107014005,PA,Mic/DI,SENNHEISER e904_No5,ダイナミックマイク,1st,
0107014006,PA,Mic/DI,SENNHEISER e904_No6,ダイナミックマイク,1st,
0107014007,PA,Mic/DI,SENNHEISER e904_No7,ダイナミックマイク,1st,
0107014008,PA,Mic/DI,SENNHEISER e904_No8,ダイナミックマイク,1st,
0107014009,PA,Mic/DI,SENNHEISER e904_No9,ダイナミックマイク,1st,
0107014010,PA,Mic/DI,SENNHEISER e904_No10,ダイナミックマイク,1st,
0107015001,PA,Mic/DI,SENNHEISER e906_No1,ダイナミックマイク,1st,
0107015002,PA,Mic/DI,SENNHEISER e906_No2,ダイナミックマイク,1st,
0107016001,PA,Mic/DI,audio-technica ATM25,ダイナミックマイク,1st,
0107017001,PA,Mic/DI,AKG C451B_No1,コンデンサーマイク,1st,
0107017002,PA,Mic/DI,AKG C451B_No2,コンデンサーマイク,1st,
0107017003,PA,Mic/DI,AKG C451B_No3,コンデンサーマイク,1st,2026年1月導入
0107017004,PA,Mic/DI,AKG C451B_No4,コンデンサーマイク,1st,2026年1月導入
0107018001,PA,Mic/DI,AKG C414 XLⅡ_No1,コンデンサーマイク,1st,
0107018002,PA,Mic/DI,AKG C414 XLⅡ_No2,コンデンサーマイク,1st,
0107019001,PA,Mic/DI,CROWN PCC-160_No1,バウンダリーマイク,1st,
0107019002,PA,Mic/DI,CROWN PCC-160_No2,バウンダリーマイク,1st,
0107020001,PA,Mic/DI,DPA 4099Hi_No1,コンデンサーマイク,1st,
0107020002,PA,Mic/DI,DPA 4099Hi_No2,コンデンサーマイク,1st,
0107020003,PA,Mic/DI,DPA 4099Hi_No3,コンデンサーマイク,1st,2025年12月 田中から購入
0107020004,PA,Mic/DI,DPA 4099Hi_No4,コンデンサーマイク,1st,2025年12月 田中から購入
0107020005,PA,Mic/DI,DPA 4099Hi_No5,コンデンサーマイク,1st,2025年12月 田中から購入
0107021001,PA,Mic/DI,DPA PC4099*2_No1,4099用ピアノアタッチメント2個入り,1st,
0107021002,PA,Mic/DI,DPA PC4099*2_No2,4099用ピアノアタッチメント2個入り,1st,
0107022001,PA,Mic/DI,DPA STC4099_No1,4099用クリップアタッチメント,1st,
0107022002,PA,Mic/DI,DPA STC4099_No2,4099用クリップアタッチメント,1st,
0107023001,PA,Mic/DI,DPA VC4099_No1,4099用バイオリンアタッチメント,1st,
0107023002,PA,Mic/DI,DPA VC4099_No2,4099用バイオリンアタッチメント,1st,
0107024001,PA,Mic/DI,EARTHWORKS M30_No1,測定マイク,1st,
0107024002,PA,Mic/DI,EARTHWORKS M30_No2,測定マイク,1st,
0107025001,PA,Mic/DI,RationalAcoustic RTA420,測定マイク,1st,
0107026001,PA,Mic/DI,WhirlWind PCDI_No1,パッシブダイレクトボックス,1st,
0107026002,PA,Mic/DI,WhirlWind PCDI_No2,パッシブダイレクトボックス,1st,
0107026003,PA,Mic/DI,WhirlWind PCDI_No3,パッシブダイレクトボックス,1st,
0107026004,PA,Mic/DI,WhirlWind PCDI_No4,パッシブダイレクトボックス,1st,
0107026005,PA,Mic/DI,WhirlWind PCDI_No5,パッシブダイレクトボックス,1st,
0107026006,PA,Mic/DI,WhirlWind PCDI_No6,パッシブダイレクトボックス,1st,
0107026007,PA,Mic/DI,WhirlWind PCDI_No7,パッシブダイレクトボックス,1st,
0107026008,PA,Mic/DI,WhirlWind PCDI_No8,パッシブダイレクトボックス,1st,
0107027001,PA,Mic/DI,WhirlWind PC USB_No1,USBダイレクトボックス,1st,
0107027002,PA,Mic/DI,WhirlWind PC USB_No2,USBダイレクトボックス,1st,
0107027003,PA,Mic/DI,WhirlWind PC USB_No3,USBダイレクトボックス,1st,
0107027004,PA,Mic/DI,WhirlWind PC USB_No4,USBダイレクトボックス,1st,
0107027005,PA,Mic/DI,WhirlWind PC USB_No5,USBダイレクトボックス,1st,
0107027006,PA,Mic/DI,WhirlWind PC USB_No6,USBダイレクトボックス,1st,
0107027007,PA,Mic/DI,WhirlWind PC USB_No7,USBダイレクトボックス,1st,
0107027008,PA,Mic/DI,WhirlWind PC USB_No8,USBダイレクトボックス,1st,
0107028001,PA,Mic/DI,Radial USB pro_No1,USBダイレクトボックス,1st,
0107028002,PA,Mic/DI,Radial USB pro_No2,USBダイレクトボックス,1st,
0107029001,PA,Mic/DI,Radial Twin-ISO_No1,2chアイソレーター,1st,
0107029002,PA,Mic/DI,Radial Twin-ISO_No2,2chアイソレーター,1st,
0107029003,PA,Mic/DI,Radial Twin-ISO_No3,2chアイソレーター,1st,
0107029004,PA,Mic/DI,Radial Twin-ISO_No4,2chアイソレーター,1st,
0107030001,PA,Mic/DI,Radial J48_No1,アクティブダイレクトボックス,1st,
0107030002,PA,Mic/DI,Radial J48_No2,アクティブダイレクトボックス,1st,
0107030003,PA,Mic/DI,Radial J48_No3,アクティブダイレクトボックス,1st,
0107030004,PA,Mic/DI,Radial J48_No4,アクティブダイレクトボックス,1st,
0107030005,PA,Mic/DI,Radial J48_No5,アクティブダイレクトボックス,1st,2025年12月 田中から購入
0107031001,PA,Mic/DI,Radial J48Stereo_No1,アクティブダイレクトボックス ステレオ,1st,
0107031002,PA,Mic/DI,Radial J48Stereo_No2,アクティブダイレクトボックス ステレオ,1st,
0107032001,PA,Mic/DI,Radial JDI Stereo,パッシブダイレクトボックス,1st,
0107033002,PA,Mic/DI,COUNTRYMAN TYPE85_No2,アクティブダイレクトボックス,1st,
0107034001,PA,Mic/DI,BOSS DI-1_No1,アクティブダイレクトボックス,1st,
0107034002,PA,Mic/DI,BOSS DI-1_No2,アクティブダイレクトボックス,1st,
0107034003,PA,Mic/DI,BOSS DI-1_No3,アクティブダイレクトボックス,1st,2025年12月 田中から購入
0107034004,PA,Mic/DI,BOSS DI-1_No4,アクティブダイレクトボックス,1st,2025年12月 田中から購入
0107034005,PA,Mic/DI,BOSS DI-1_No5,アクティブダイレクトボックス,1st,2025年12月 田中から購入
0107034006,PA,Mic/DI,BOSS DI-1_No6,アクティブダイレクトボックス,1st,2025年12月 田中から購入
0107035001,PA,Mic/DI,audio-tecnica AT-4050_No1,コンデンサーマイク,1st,
0107035002,PA,Mic/DI,audio-tecnica AT-4050_No2,コンデンサーマイク,1st,
0107036001,PA,Mic/DI,SM58 風防 8個,SM58 風防 8個,1st,
0107037001,PA,Mic/DI,SM58 風防 300Series 8個 No1,SM58 風防 300Series 8個 No1,1st,
0107037002,PA,Mic/DI,SM58 風防 300Series 8個 No2,SM58 風防 300Series 8個 No2,1st,
0107038001,PA,Mic/DI,SM57 風防 3個,SM57 風防 3個,1st,
0107039001,PA,Mic/DI,audio-technica AT8449a_No1,AT4050用ホルダー,1st,
0107039002,PA,Mic/DI,audio-technica AT8449a_No2,AT4050用ホルダー,1st,
0107040001,PA,Mic/DI,SHURE 565SD-LC_No1,ダイナミックマイク,1st,
0107040002,PA,Mic/DI,SHURE 565SD-LC_No2,ダイナミックマイク,1st,
0107041001,PA,Mic/DI,SENNHEISER MD421_No1,ダイナミックマイク,1st,2025年12月 田中から購入
0107041002,PA,Mic/DI,SENNHEISER MD421_No2,ダイナミックマイク,1st,2025年12月 田中から購入
0107042001,PA,Mic/DI,SENNHEISER e903_No1,ダイナミックマイク,1st,2025年12月 田中から購入
0107043001,PA,Mic/DI,SENNHEISER e606_No1,ダイナミックマイク,1st,2025年12月 田中から購入
0107044001,PA,Mic/DI,SENNHEISER e901_No1,コンデンサーマイク,1st,2025年12月 田中から購入
0107045001,PA,Mic/DI,Radial ProD2_No1,パッシブダイレクトボックス ステレオ,1st,2025年12月 田中から購入
0107045002,PA,Mic/DI,Radial ProD2_No2,パッシブダイレクトボックス ステレオ,1st,2025年12月 田中から購入
0107046001,PA,Mic/DI,Radial IceCube IC-1_No1,1ch アイソレーター,1st,2025年12月 田中から購入
0107046002,PA,Mic/DI,Radial IceCube IC-1_No2,1ch アイソレーター,1st,2025年12月 田中から購入
0107047001,PA,Mic/DI,DPA 4090_No1,測定マイク,1st,2025年12月 田中から購入
0107047002,PA,Mic/DI,DPA 4090_No2,測定マイク,1st,2025年12月 田中から購入
0107047003,PA,Mic/DI,DPA 4090_No3,測定マイク,1st,
0107047004,PA,Mic/DI,DPA 4090_No4,測定マイク,1st,2025年12月 田中から購入
0107048001,PA,Mic/DI,Barcusberry 4000XL,ピアノ/ハープ用マイクシステム,1st,2025年12月 田中から購入
0107049001,PA,Mic/DI,AudioTechnica ATM25_No1,ダイナミックマイク,1st,2025年12月 田中から購入
0107050001,PA,Mic/DI,AudioTechnica AT-X3_No1,ダイナミックマイク,1st,2025年12月 田中から購入
0107050002,PA,Mic/DI,AudioTechnica AT-X3_No2,ダイナミックマイク,1st,2025年12月 田中から購入
0108001001,PA,WirelessMic/IEM,SHURE ULXD4D-G50 Rack_No1,ワイヤレスレシーバーラック,1st,
0108001002,PA,WirelessMic/IEM,SHURE ULXD4D-G50 Rack_No2,ワイヤレスレシーバーラック,1st,
0108002001,PA,WirelessMic/IEM,SHURE ULXD4D-J51 Rack_No1,ワイヤレスレシーバーラック,1st,
0108002002,PA,WirelessMic/IEM,SHURE ULXD4D-J51 Rack_No2,ワイヤレスレシーバーラック,1st,
0108003001,PA,WirelessMic/IEM,SHURE ULXD4D-L53 Rack_No1,ワイヤレスレシーバーラック,1st,
0108003002,PA,WirelessMic/IEM,SHURE ULXD4D-L53 Rack_No2,ワイヤレスレシーバーラック,1st,
0108004001,PA,WirelessMic/IEM,SHURE ULXD4D-Z16 Rack_No1,ワイヤレスレシーバーラック,1st,
0108004002,PA,WirelessMic/IEM,SHURE ULXD4D-Z16 Rack_No2,ワイヤレスレシーバーラック,1st,
0108005001,PA,WirelessMic/IEM,SHURE ULXD1-G50_No1,ボディパックトランスミッタ,1st,
0108005002,PA,WirelessMic/IEM,SHURE ULXD1-G50_No2,ボディパックトランスミッタ,1st,
0108005003,PA,WirelessMic/IEM,SHURE ULXD1-G50_No3,ボディパックトランスミッタ,1st,
0108005004,PA,WirelessMic/IEM,SHURE ULXD1-G50_No4,ボディパックトランスミッタ,1st,
0108006001,PA,WirelessMic/IEM,SHURE ULXD1-J51_No1,ボディパックトランスミッタ,1st,
0108006002,PA,WirelessMic/IEM,SHURE ULXD1-J51_No2,ボディパックトランスミッタ,1st,
0108006003,PA,WirelessMic/IEM,SHURE ULXD1-J51_No3,ボディパックトランスミッタ,1st,
0108006004,PA,WirelessMic/IEM,SHURE ULXD1-J51_No4,ボディパックトランスミッタ,1st,
0108007001,PA,WirelessMic/IEM,SHURE ULXD1-L53_No1,ボディパックトランスミッタ,1st,
0108007002,PA,WirelessMic/IEM,SHURE ULXD1-L53_No2,ボディパックトランスミッタ,1st,
0108007003,PA,WirelessMic/IEM,SHURE ULXD1-L53_No3,ボディパックトランスミッタ,1st,
0108007004,PA,WirelessMic/IEM,SHURE ULXD1-L53_No4,ボディパックトランスミッタ,1st,
0108007005,PA,WirelessMic/IEM,SHURE ULXD1-L53_No5,ボディパックトランスミッタ,1st,
0108007006,PA,WirelessMic/IEM,SHURE ULXD1-L53_No6,ボディパックトランスミッタ,1st,
0108007007,PA,WirelessMic/IEM,SHURE ULXD1-L53_No7,ボディパックトランスミッタ,1st,
0108007008,PA,WirelessMic/IEM,SHURE ULXD1-L53_No8,ボディパックトランスミッタ,1st,
0108008001,PA,WirelessMic/IEM,SHURE ULXD1-Z16_No1,ボディパックトランスミッタ,1st,
0108008002,PA,WirelessMic/IEM,SHURE ULXD1-Z16_No2,ボディパックトランスミッタ,1st,
0108008003,PA,WirelessMic/IEM,SHURE ULXD1-Z16_No3,ボディパックトランスミッタ,1st,
0108008004,PA,WirelessMic/IEM,SHURE ULXD1-Z16_No4,ボディパックトランスミッタ,1st,
0108008005,PA,WirelessMic/IEM,SHURE ULXD1-Z16_No5,ボディパックトランスミッタ,1st,
0108008006,PA,WirelessMic/IEM,SHURE ULXD1-Z16_No6,ボディパックトランスミッタ,1st,
0108008007,PA,WirelessMic/IEM,SHURE ULXD1-Z16_No7,ボディパックトランスミッタ,1st,
0108008008,PA,WirelessMic/IEM,SHURE ULXD1-Z16_No8,ボディパックトランスミッタ,1st,
0108009001,PA,WirelessMic/IEM,SHURE ULXD2/SM58-G50_No1,ハンドヘルドトランスミッタ,1st,
0108009002,PA,WirelessMic/IEM,SHURE ULXD2/SM58-G50_No2,ハンドヘルドトランスミッタ,1st,
0108009003,PA,WirelessMic/IEM,SHURE ULXD2/SM58-G50_No3,ハンドヘルドトランスミッタ,1st,
0108009004,PA,WirelessMic/IEM,SHURE ULXD2/SM58-G50_No4,ハンドヘルドトランスミッタ,1st,
0108009005,PA,WirelessMic/IEM,SHURE ULXD2/SM58-G50_No5,ハンドヘルドトランスミッタ,1st,
0108009006,PA,WirelessMic/IEM,SHURE ULXD2/SM58-G50_No6,ハンドヘルドトランスミッタ,1st,
0108009007,PA,WirelessMic/IEM,SHURE ULXD2/SM58-G50_No7,ハンドヘルドトランスミッタ,1st,
0108009008,PA,WirelessMic/IEM,SHURE ULXD2/SM58-G50_No8,ハンドヘルドトランスミッタ,1st,
0108010001,PA,WirelessMic/IEM,SHURE ULXD2/SM58-J51_No1,ハンドヘルドトランスミッタ,1st,2026.3修理戻り
0108010002,PA,WirelessMic/IEM,SHURE ULXD2/SM58-J51_No2,ハンドヘルドトランスミッタ,1st,
0108010003,PA,WirelessMic/IEM,SHURE ULXD2/SM58-J51_No3,ハンドヘルドトランスミッタ,1st,
0108010004,PA,WirelessMic/IEM,SHURE ULXD2/SM58-J51_No4,ハンドヘルドトランスミッタ,1st,
0108010005,PA,WirelessMic/IEM,SHURE ULXD2/SM58-J51_No5,ハンドヘルドトランスミッタ,1st,
0108010006,PA,WirelessMic/IEM,SHURE ULXD2/SM58-J51_No6,ハンドヘルドトランスミッタ,1st,
0108010007,PA,WirelessMic/IEM,SHURE ULXD2/SM58-J51_No7,ハンドヘルドトランスミッタ,1st,
0108010008,PA,WirelessMic/IEM,SHURE ULXD2/SM58-J51_No8,ハンドヘルドトランスミッタ,1st,
0108011001,PA,WirelessMic/IEM,SHURE ULXD2/SM58-L53_No1,ハンドヘルドトランスミッタ,1st,2026年7月修理
0108011002,PA,WirelessMic/IEM,SHURE ULXD2/SM58-L53_No2,ハンドヘルドトランスミッタ,1st,
0108011003,PA,WirelessMic/IEM,SHURE ULXD2/SM58-L53_No3,ハンドヘルドトランスミッタ,1st,
0108011004,PA,WirelessMic/IEM,SHURE ULXD2/SM58-L53_No4,ハンドヘルドトランスミッタ,1st,
0108011005,PA,WirelessMic/IEM,SHURE ULXD2/SM58-L53_No5,ハンドヘルドトランスミッタ,1st,
0108011006,PA,WirelessMic/IEM,SHURE ULXD2/SM58-L53_No6,ハンドヘルドトランスミッタ,1st,
0108011007,PA,WirelessMic/IEM,SHURE ULXD2/SM58-L53_No7,ハンドヘルドトランスミッタ,1st,
0108011008,PA,WirelessMic/IEM,SHURE ULXD2/SM58-L53_No8,ハンドヘルドトランスミッタ,1st,
0108012001,PA,WirelessMic/IEM,SHURE ULXD2/SM58-Z16_No1,ハンドヘルドトランスミッタ,1st,
0108012002,PA,WirelessMic/IEM,SHURE ULXD2/SM58-Z16_No2,ハンドヘルドトランスミッタ,1st,
0108012003,PA,WirelessMic/IEM,SHURE ULXD2/SM58-Z16_No3,ハンドヘルドトランスミッタ,1st,
0108012004,PA,WirelessMic/IEM,SHURE ULXD2/SM58-Z16_No4,ハンドヘルドトランスミッタ,1st,
0108012005,PA,WirelessMic/IEM,SHURE ULXD2/SM58-Z16_No5,ハンドヘルドトランスミッタ,1st,
0108012006,PA,WirelessMic/IEM,SHURE ULXD2/SM58-Z16_No6,ハンドヘルドトランスミッタ,1st,
0108012007,PA,WirelessMic/IEM,SHURE ULXD2/SM58-Z16_No7,ハンドヘルドトランスミッタ,1st,
0108012008,PA,WirelessMic/IEM,SHURE ULXD2/SM58-Z16_No8,ハンドヘルドトランスミッタ,1st,
0108013001,PA,WirelessMic/IEM,SHURE PSM1000 P10R-G10J_No1,IEMボディパックレシーバー,1st,
0108013002,PA,WirelessMic/IEM,SHURE PSM1000 P10R-G10J_No2,IEMボディパックレシーバー,1st,
0108014001,PA,WirelessMic/IEM,SHURE PSM1000 P10R-J8J_No1,IEMボディパックレシーバー,1st,
0108014002,PA,WirelessMic/IEM,SHURE PSM1000 P10R-J8J_No2,IEMボディパックレシーバー,1st,
0108015001,PA,WirelessMic/IEM,SHURE PSM1000 P10R-L8J_No1,IEMボディパックレシーバー,1st,
0108015002,PA,WirelessMic/IEM,SHURE PSM1000 P10R-L8J_No2,IEMボディパックレシーバー,1st,
0108016001,PA,WirelessMic/IEM,SHURE PSM1000 P10R-L11J_No1,IEMボディパックレシーバー,1st,
0108016002,PA,WirelessMic/IEM,SHURE PSM1000 P10R-L11J_No2,IEMボディパックレシーバー,1st,
0108016003,PA,WirelessMic/IEM,SHURE PSM1000 P10R-L11J_No3,IEMボディパックレシーバー,1st,
0108016004,PA,WirelessMic/IEM,SHURE PSM1000 P10R-L11J_No4,IEMボディパックレシーバー,1st,
0108017001,PA,WirelessMic/IEM,SHURE PSM1000 P10T-G10J,IEMデュアルトランスミッタ,1st,
0108018001,PA,WirelessMic/IEM,SHURE PSM1000 P10T-J8J,IEMデュアルトランスミッタ,1st,
0108019001,PA,WirelessMic/IEM,SHURE PSM1000 P10T-L8J,IEMデュアルトランスミッタ,1st,
0108020001,PA,WirelessMic/IEM,SHURE PSM1000 P10T-L11J,IEMデュアルトランスミッタ,1st,
0108021001,PA,WirelessMic/IEM,SHURE UA830WB*2_No1,アンテナブースター,1st,
0108021002,PA,WirelessMic/IEM,SHURE UA830WB*2_No2,アンテナブースター,1st,
0108022001,PA,WirelessMic/IEM,SHURE UA874*2_No1,アンテナブースター（パドル型）,1st,
0108022002,PA,WirelessMic/IEM,SHURE UA874*2_No2,アンテナブースター（パドル型）,1st,
0108023001,PA,WirelessMic/IEM,SHURE UA834-Z16*2_No1,アンテナブースター,1st,
0108023002,PA,WirelessMic/IEM,SHURE UA834-Z16*2_No2,アンテナブースター,1st,
0108024001,PA,WirelessMic/IEM,SHURE UA874-Z16*2,アンテナブースター（パドル型）,1st,
0108025001,PA,WirelessMic/IEM,SHURE UA221C*2_No1,パッシブアンテナ混合キット,1st,
0108025002,PA,WirelessMic/IEM,SHURE UA221C*2_No2,パッシブアンテナ混合キット,1st,
0108026001,PA,WirelessMic/IEM,SHURE PA805*2,指向性アンテナ,1st,
0108027001,PA,WirelessMic/IEM,SHURE SM35TQG_No1,ヘッドセットマイク（TA4F),1st,
0108027002,PA,WirelessMic/IEM,SHURE SM35TQG_No2,ヘッドセットマイク（TA4F),1st,
0108027003,PA,WirelessMic/IEM,SHURE SM35TQG_No3,ヘッドセットマイク（TA4F),1st,
0108027004,PA,WirelessMic/IEM,SHURE SM35TQG_No4,ヘッドセットマイク（TA4F),1st,
0108027005,PA,WirelessMic/IEM,SHURE SM35TQG_No5,ヘッドセットマイク（TA4F),1st,
0108027006,PA,WirelessMic/IEM,SHURE SM35TQG_No6,ヘッドセットマイク（TA4F),1st,
0108027007,PA,WirelessMic/IEM,SHURE SM35TQG_No7,ヘッドセットマイク（TA4F),1st,
0108027008,PA,WirelessMic/IEM,SHURE SM35TQG_No8,ヘッドセットマイク（TA4F),1st,
0108028001,PA,WirelessMic/IEM,SHURE MX150B/C-TQG_No1,ラべリアマイク（TA4F),1st,
0108028002,PA,WirelessMic/IEM,SHURE MX150B/C-TQG_No2,ラべリアマイク（TA4F),1st,
0108028003,PA,WirelessMic/IEM,SHURE MX150B/C-TQG_No3,ラべリアマイク（TA4F),1st,
0108028004,PA,WirelessMic/IEM,SHURE MX150B/C-TQG_No4,ラべリアマイク（TA4F),1st,
0108029001,PA,WirelessMic/IEM,DPA 4088-F_No1,ヘッドセットマイク（MicroDot）,1st,
0108029002,PA,WirelessMic/IEM,DPA 4088-F_No2,ヘッドセットマイク（MicroDot）,1st,
0108029003,PA,WirelessMic/IEM,DPA 4088-F_No3,ヘッドセットマイク（MicroDot）,1st,
0108029004,PA,WirelessMic/IEM,DPA 4088-F_No4,ヘッドセットマイク（MicroDot）,1st,
0108029005,PA,WirelessMic/IEM,DPA 4088-F_No5,ヘッドセットマイク（MicroDot）,1st,
0108029006,PA,WirelessMic/IEM,DPA 4088-F_No6,ヘッドセットマイク（MicroDot）,1st,
0108030001,PA,WirelessMic/IEM,DPA 4080-BM_No1,ラべリアマイク（MicroDot）,1st,
0108030002,PA,WirelessMic/IEM,DPA 4080-BM_No2,ラべリアマイク（MicroDot）,1st,
0108030003,PA,WirelessMic/IEM,DPA 4080-BM_No3,ラべリアマイク（MicroDot）,1st,
0108030004,PA,WirelessMic/IEM,DPA 4080-BM_No4,ラべリアマイク（MicroDot）,1st,
0108030005,PA,WirelessMic/IEM,DPA 4080-BM_No5,ラべリアマイク（MicroDot）,1st,
0108030006,PA,WirelessMic/IEM,DPA 4080-BM_No6,ラべリアマイク（MicroDot）,1st,
0108030007,PA,WirelessMic/IEM,DPA 4080-BM_No7,ラべリアマイク（MicroDot）,1st,
0108030008,PA,WirelessMic/IEM,DPA 4080-BM_No8,ラべリアマイク（MicroDot）,1st,
0108031001,PA,WirelessMic/IEM,DPA 4080-DC-D-B10_No1,ラべリアマイク（TA4F),1st,
0108031002,PA,WirelessMic/IEM,DPA 4080-DC-D-B10_No2,ラべリアマイク（TA4F),1st,
0108031003,PA,WirelessMic/IEM,DPA 4080-DC-D-B10_No3,ラべリアマイク（TA4F),1st,
0108031004,PA,WirelessMic/IEM,DPA 4080-DC-D-B10_No4,ラべリアマイク（TA4F),1st,
0108031005,PA,WirelessMic/IEM,DPA 4080-DC-D-B10_No5,ラべリアマイク（TA4F),1st,
0108031006,PA,WirelessMic/IEM,DPA 4080-DC-D-B10_No6,ラべリアマイク（TA4F),1st,
0108031007,PA,WirelessMic/IEM,DPA 4080-DC-D-B10_No7,ラべリアマイク（TA4F),1st,
0108031008,PA,WirelessMic/IEM,DPA 4080-DC-D-B10_No8,ラべリアマイク（TA4F),1st,
0108032001,PA,WirelessMic/IEM,DPA-SHURE_No1,MicroDot to TA4F,1st,
0108032002,PA,WirelessMic/IEM,DPA-SHURE_No2,MicroDot to TA4F,1st,
0108032003,PA,WirelessMic/IEM,DPA-SHURE_No3,MicroDot to TA4F,1st,
0108032004,PA,WirelessMic/IEM,DPA-SHURE_No4,MicroDot to TA4F,1st,
0108032005,PA,WirelessMic/IEM,DPA-SHURE_No5,MicroDot to TA4F,1st,
0108032006,PA,WirelessMic/IEM,DPA-SHURE_No6,MicroDot to TA4F,1st,
0108032007,PA,WirelessMic/IEM,DPA-SHURE_No7,MicroDot to TA4F,1st,
0108032008,PA,WirelessMic/IEM,DPA-SHURE_No8,MicroDot to TA4F,1st,
0108033001,PA,WirelessMic/IEM,DPA-XLR_No1,MicroDot to XLR12C,1st,
0108033002,PA,WirelessMic/IEM,DPA-XLR_No2,MicroDot to XLR12C,1st,
0108034001,PA,WirelessMic/IEM,SHURE WA580B Black_No1,ボディパック用ポーチ（黒）,1st,
0108034002,PA,WirelessMic/IEM,SHURE WA580B Black_No2,ボディパック用ポーチ（黒）,1st,
0108034003,PA,WirelessMic/IEM,SHURE WA580B Black_No3,ボディパック用ポーチ（黒）,1st,
0108034004,PA,WirelessMic/IEM,SHURE WA580B Black_No4,ボディパック用ポーチ（黒）,1st,
0108034005,PA,WirelessMic/IEM,SHURE WA580B Black_No5,ボディパック用ポーチ（黒）,1st,
0108034006,PA,WirelessMic/IEM,SHURE WA580B Black_No6,ボディパック用ポーチ（黒）,1st,
0108034007,PA,WirelessMic/IEM,SHURE WA580B Black_No7,ボディパック用ポーチ（黒）,1st,
0108034008,PA,WirelessMic/IEM,SHURE WA580B Black_No8,ボディパック用ポーチ（黒）,1st,
0108034009,PA,WirelessMic/IEM,SHURE WA580B Black_No9,ボディパック用ポーチ（黒）,1st,
0108034010,PA,WirelessMic/IEM,SHURE WA580B Black_No10,ボディパック用ポーチ（黒）,1st,
0108034011,PA,WirelessMic/IEM,ボディパック用ポーチ（黒）ベルトのみ,ボディパック用ポーチ（黒）ベルトのみ,1st,
0108035001,PA,WirelessMic/IEM,SHURE WA580B White_No1,ボディパック用ポーチ（白）,1st,
0108035002,PA,WirelessMic/IEM,SHURE WA580B White_No2,ボディパック用ポーチ（白）,1st,
0108035003,PA,WirelessMic/IEM,SHURE WA580B White_No3,ボディパック用ポーチ（白）,1st,
